ExperimentName	Subject	Session	Correct	CorrectAns	Response	TestSlide.RT	SessionTime
2_	13	1	0	1	17	6521	14:09:45
2_	13	1	0	2	15	2596	14:09:45
2_	13	1	0	3	10	3972	14:09:45
2_	13	1	0	4	11	10434	14:09:45
2_	13	1	0	5	4	1716	14:09:45
2_	13	1	0	6	8	2365	14:09:45
2_	13	1	1	7	7	1246	14:09:45
2_	13	1	0	8	12	1750	14:09:45
2_	13	1	0	9	10	1970	14:09:45
2_	13	1	0	10	16	1946	14:09:45
2_	13	1	0	11	9	1795	14:09:45
2_	13	1	0	12	16	3481	14:09:45
2_	13	1	0	13	8	2782	14:09:45
2_	13	1	0	14	1	2002	14:09:45
2_	13	1	0	15	6	4048	14:09:45
2_	13	1	0	16	18	1825	14:09:45
2_	13	1	0	17	14	1511	14:09:45
2_	13	1	0	18	17	5903	14:09:45
2_	15	3	0	1	12	1170	15:31:33
2_	15	3	0	2	4	505	15:31:33
2_	15	3	1	3	3	1131	15:31:33
2_	15	3	0	4	13	731	15:31:33
2_	15	3	0	5	10	1335	15:31:33
2_	15	3	0	6	2	3723	15:31:33
2_	15	3	0	7	6	1293	15:31:33
2_	15	3	0	8	7	1027	15:31:33
2_	15	3	0	9	16	2461	15:31:33
2_	15	3	0	10	14	1776	15:31:33
2_	15	3	0	11	16	3693	15:31:33
2_	15	3	0	12	5	987	15:31:33
2_	15	3	0	13	2	1605	15:31:33
2_	15	3	0	14	1	847	15:31:33
2_	15	3	0	15	3	638	15:31:33
2_	15	3	0	16	17	1577	15:31:33
2_	15	3	0	17	1	1303	15:31:33
2_	15	3	0	18	4	760	15:31:33
2_	22	3	0	1	9	6299	12:31:43
2_	22	3	0	2	16	1119	12:31:43
2_	22	3	0	3	18	1078	12:31:43
2_	22	3	0	4	10	1155	12:31:43
2_	22	3	1	5	5	826	12:31:43
2_	22	3	0	6	14	883	12:31:43
2_	22	3	0	7	10	879	12:31:43
2_	22	3	0	8	6	1291	12:31:43
2_	22	3	0	9	17	1068	12:31:43
2_	22	3	0	10	7	1196	12:31:43
2_	22	3	0	11	3	1131	12:31:43
2_	22	3	0	12	11	1113	12:31:43
2_	22	3	0	13	1	1790	12:31:43
2_	22	3	0	14	13	981	12:31:43
