ExperimentName	Subject	Session	SessionTime	Cooccurrences	testWait.RESP	testWait.RT	Picture	sound	TestList.Sample
5_1	11	1	14:55:43	2	1	3921	11	8	1
5_1	11	1	14:55:43	6	1	1442	14	14	2
5_1	11	1	14:55:43	2	1	1944	10	6	3
5_1	11	1	14:55:43	1	6	1056	7	1	4
5_1	11	1	14:55:43	4	1	5939	15	4	5
5_1	11	1	14:55:43	6	0	1460	15	15	6
5_1	11	1	14:55:43	0	1	615	7	17	7
5_1	11	1	14:55:43	0	1	435	11	15	8
5_1	11	1	14:55:43	2	2	8	18	14	9
5_1	11	1	14:55:43	1	1	855	9	10	10
5_1	11	1	14:55:43	0	1	322	3	12	11
5_1	11	1	14:55:43	4	0	784	4	12	12
5_1	11	1	14:55:43	1	3	2356	2	14	13
5_1	11	1	14:55:43	6	2	1198	3	3	14
5_1	11	1	14:55:43	1	4	2275	8	16	15
5_1	11	1	14:55:43	4	3	994	14	5	16
5_1	11	1	14:55:43	2	4	2178	13	2	17
5_1	11	1	14:55:43	6	2	24	8	8	18
5_1	11	1	14:55:43	0	3	562	1	3	19
5_1	11	1	14:55:43	3	3	560	7	5	20
5_1	11	1	14:55:43	0	4	2136	12	2	21
5_1	11	1	14:55:43	0	1	705	18	8	22
5_1	11	1	14:55:43	4	2	194	11	7	23
5_1	11	1	14:55:43	3	2	771	6	9	24
5_1	11	1	14:55:43	6	2	2542	16	16	25
5_1	11	1	14:55:43	0	2	918	16	3	26
5_1	11	1	14:55:43	1	3	1062	1	18	27
5_1	11	1	14:55:43	3	2	528	2	18	28
5_1	11	1	14:55:43	6	1	388	11	11	29
5_1	11	1	14:55:43	1	3	2119	3	14	30
5_1	11	1	14:55:43	6	2	388	6	6	31
5_1	11	1	14:55:43	0	2	870	17	13	32
5_1	11	1	14:55:43	2	2	600	5	18	33
5_1	11	1	14:55:43	2	1	1095	15	17	34
5_1	11	1	14:55:43	3	3	371	14	16	35
5_1	11	1	14:55:43	6	0	319	9	9	36
5_1	11	1	14:55:43	0	2	233	5	2	37
5_1	11	1	14:55:43	2	1	278	17	9	38
5_1	11	1	14:55:43	1	2	3175	8	6	39
5_1	11	1	14:55:43	6	1	397	5	5	40
5_1	11	1	14:55:43	6	0	245	2	2	41
5_1	11	1	14:55:43	2	1	59	6	3	42
5_1	11	1	14:55:43	2	2	744	12	11	43
5_1	11	1	14:55:43	6	2	1746	12	12	44
5_1	11	1	14:55:43	6	0	2128	1	1	45
5_1	11	1	14:55:43	1	1	2244	2	16	46
5_1	11	1	14:55:43	2	1	1693	16	13	47
5_1	11	1	14:55:43	1	0	333	4	1	48
5_1	11	1	14:55:43	1	1	1673	4	11	49
5_1	11	1	14:55:43	1	1	608	9	15	50
5_1	11	1	14:55:43	2	1	229	18	4	51
5_1	11	1	14:55:43	3	2	120	1	13	52
5_1	11	1	14:55:43	6	1	255	18	18	53
5_1	11	1	14:55:43	1	1	282	10	9	54
5_1	11	1	14:55:43	6	1	1696	17	17	55
5_1	11	1	14:55:43	1	2	2386	5	17	56
5_1	11	1	14:55:43	2	3	1349	3	10	57
5_1	11	1	14:55:43	6	0	325	4	4	58
5_1	11	1	14:55:43	0	0	373	14	4	59
5_1	11	1	14:55:43	0	4	1856	9	8	60
5_1	11	1	14:55:43	3	2	1314	17	6	61
5_1	11	1	14:55:43	6	0	1985	13	13	62
5_1	11	1	14:55:43	1	1	1215	6	12	63
5_1	11	1	14:55:43	6	2	881	10	10	64
5_1	11	1	14:55:43	6	2	425	7	7	65
5_1	11	1	14:55:43	0	0	435	13	7	66
5_1	11	1	14:55:43	3	2	371	8	10	67
5_1	11	1	14:55:43	0	2	176	13	7	68
5_1	11	1	14:55:43	3	1	627	12	15	69
5_1	11	1	14:55:43	0	2	871	15	5	70
5_1	11	1	14:55:43	4	3	216	16	1	71
5_1	11	1	14:55:43	4	2	517	10	11	72
5_1	15	1	15:47:11	3	1	13229	17	6	1
5_1	15	1	15:47:11	2	0	5557	18	14	2
5_1	15	1	15:47:11	4	2	14997	10	11	3
5_1	15	1	15:47:11	6	2	2504	11	11	4
5_1	15	1	15:47:11	6	3	3176	4	4	5
5_1	15	1	15:47:11	3	0	2301	7	5	6
5_1	15	1	15:47:11	6	6	5958	10	10	7
5_1	15	1	15:47:11	0	4	9284	18	8	8
5_1	15	1	15:47:11	6	1	4297	12	12	9
5_1	15	1	15:47:11	6	0	631	18	18	10
5_1	15	1	15:47:11	2	1	6952	5	18	11
5_1	15	1	15:47:11	3	1	4919	2	18	12
5_1	15	1	15:47:11	4	0	581	11	7	13
5_1	15	1	15:47:11	2	6	3409	3	10	14
5_1	15	1	15:47:11	0	2	8335	1	3	15
5_1	15	1	15:47:11	0	1	663	13	7	16
5_1	15	1	15:47:11	6	2	1344	13	13	17
5_1	15	1	15:47:11	1	0	7810	3	14	18
5_1	15	1	15:47:11	4	3	1648	16	1	19
5_1	15	1	15:47:11	2	0	1723	17	9	20
5_1	15	1	15:47:11	4	3	3758	15	4	21
5_1	15	1	15:47:11	1	2	1456	7	1	22
5_1	15	1	15:47:11	0	1	1504	12	2	23
5_1	15	1	15:47:11	6	2	1984	3	3	24
5_1	15	1	15:47:11	0	0	1408	13	7	25
5_1	15	1	15:47:11	6	4	2068	1	1	26
5_1	15	1	15:47:11	2	2	3128	6	3	27
5_1	15	1	15:47:11	1	5	7520	9	10	28
5_1	15	1	15:47:11	0	2	1529	15	5	29
5_1	15	1	15:47:11	0	1	983	5	2	30
5_1	15	1	15:47:11	3	3	4927	14	16	31
5_1	15	1	15:47:11	2	4	1924	12	11	32
5_1	15	1	15:47:11	6	1	2960	5	5	33
5_1	15	1	15:47:11	2	1	2057	13	2	34
5_1	15	1	15:47:11	0	0	705	11	15	35
5_1	15	1	15:47:11	0	2	1267	14	4	36
5_1	15	1	15:47:11	1	1	2901	6	12	37
5_1	15	1	15:47:11	0	0	4019	17	13	38
5_1	15	1	15:47:11	1	0	3408	1	18	39
5_1	15	1	15:47:11	2	3	2543	18	4	40
5_1	15	1	15:47:11	1	3	2966	5	17	41
5_1	15	1	15:47:11	6	2	1854	7	7	42
5_1	15	1	15:47:11	2	3	2415	15	17	43
5_1	15	1	15:47:11	1	2	5441	8	6	44
5_1	15	1	15:47:11	3	1	3399	1	13	45
5_1	15	1	15:47:11	1	4	1857	2	16	46
5_1	15	1	15:47:11	3	2	1138	6	9	47
5_1	15	1	15:47:11	2	4	2645	11	8	48
5_1	15	1	15:47:11	6	3	3983	8	8	49
5_1	15	1	15:47:11	1	2	7844	4	1	50
5_1	15	1	15:47:11	4	0	5108	14	5	51
5_1	15	1	15:47:11	0	2	12374	9	8	52
5_1	15	1	15:47:11	4	3	11559	4	12	53
5_1	15	1	15:47:11	3	6	9747	8	10	54
5_1	15	1	15:47:11	6	5	1492	16	16	55
5_1	15	1	15:47:11	1	5	1641	10	9	56
5_1	15	1	15:47:11	1	4	1782	9	15	57
5_1	15	1	15:47:11	6	2	760	6	6	58
5_1	15	1	15:47:11	6	2	5176	14	14	59
5_1	15	1	15:47:11	1	3	3042	4	11	60
5_1	15	1	15:47:11	0	2	6219	3	12	61
5_1	15	1	15:47:11	6	3	691	15	15	62
5_1	15	1	15:47:11	2	5	4671	10	6	63
5_1	15	1	15:47:11	6	4	3025	17	17	64
5_1	15	1	15:47:11	2	3	4168	16	13	65
5_1	15	1	15:47:11	1	3	664	2	14	66
5_1	15	1	15:47:11	6	4	10705	9	9	67
5_1	15	1	15:47:11	6	1	497	2	2	68
5_1	15	1	15:47:11	0	3	724	16	3	69
5_1	15	1	15:47:11	3	3	3497	12	15	70
5_1	15	1	15:47:11	0	4	1096	7	17	71
5_1	15	1	15:47:11	1	4	7140	8	16	72
5_1	20	1	16:44:33	6	1	9012	11	11	1
5_1	20	1	16:44:33	6	1	944	13	13	2
5_1	20	1	16:44:33	2	0	2129	11	8	3
5_1	20	1	16:44:33	6	1	1283	2	2	4
5_1	20	1	16:44:33	6	0	1479	5	5	5
5_1	20	1	16:44:33	1	0	248	8	6	6
5_1	20	1	16:44:33	1	0	1047	5	17	7
5_1	20	1	16:44:33	2	2	903	6	3	8
5_1	20	1	16:44:33	0	0	752	15	5	9
5_1	20	1	16:44:33	1	0	701	7	1	10
5_1	20	1	16:44:33	0	0	49	12	2	11
5_1	20	1	16:44:33	2	0	1093	13	2	12
5_1	20	1	16:44:33	2	0	402	18	4	13
5_1	20	1	16:44:33	0	0	401	13	7	14
5_1	20	1	16:44:33	4	0	132	4	12	15
5_1	20	1	16:44:33	3	0	441	1	13	16
5_1	20	1	16:44:33	0	0	974	14	4	17
5_1	20	1	16:44:33	6	1	4850	9	9	18
5_1	20	1	16:44:33	6	2	2030	8	8	19
5_1	20	1	16:44:33	6	1	1492	4	4	20
5_1	20	1	16:44:33	6	3	1706	10	10	21
5_1	20	1	16:44:33	0	0	118	7	17	22
5_1	20	1	16:44:33	6	1	2093	16	16	23
5_1	20	1	16:44:33	6	2	2247	1	1	24
5_1	20	1	16:44:33	2	0	1464	3	10	25
5_1	20	1	16:44:33	1	0	710	4	11	26
5_1	20	1	16:44:33	2	0	392	10	6	27
5_1	20	1	16:44:33	4	0	134	10	11	28
5_1	20	1	16:44:33	3	0	84	8	10	29
5_1	20	1	16:44:33	0	0	119	3	12	30
5_1	20	1	16:44:33	3	0	384	7	5	31
5_1	20	1	16:44:33	0	1	290	9	8	32
5_1	20	1	16:44:33	1	0	227	4	1	33
