ExperimentName	Subject	Session	SessionTime	Correct	CorrectAns	Response	TestList.Sample	TestSlide.RT
1_	13	4	11:37:04	1	2	2	1	2166
1_	13	4	11:37:04	1	5	5	2	4680
1_	13	4	11:37:04	1	11	11	3	3018
1_	13	4	11:37:04	1	10	10	4	3354
1_	13	4	11:37:04	1	18	18	5	4240
1_	13	4	11:37:04	1	8	8	6	2556
1_	13	4	11:37:04	1	1	1	7	1704
1_	13	4	11:37:04	1	7	7	8	1876
1_	13	4	11:37:04	1	6	6	9	3660
1_	13	4	11:37:04	0	16	14	10	6383
1_	13	4	11:37:04	1	12	12	11	2410
1_	13	4	11:37:04	1	9	9	12	1469
1_	13	4	11:37:04	1	13	13	13	1724
1_	13	4	11:37:04	1	15	15	14	4194
1_	13	4	11:37:04	1	4	4	15	4767
1_	13	4	11:37:04	1	3	3	16	2037
1_	13	4	11:37:04	1	17	17	17	3248
1_	13	4	11:37:04	1	14	14	18	20806
1_	18	4	12:26:19	1	16	16	1	3851
1_	18	4	12:26:19	1	18	18	2	2120
1_	18	4	12:26:19	1	4	4	3	1994
1_	18	4	12:26:19	1	8	8	4	1672
1_	18	4	12:26:19	1	15	15	5	1857
1_	18	4	12:26:19	1	6	6	6	2142
1_	18	4	12:26:19	1	14	14	7	1774
1_	18	4	12:26:19	1	13	13	8	3562
1_	18	4	12:26:19	1	5	5	9	2509
1_	18	4	12:26:19	1	7	7	10	1618
1_	18	4	12:26:19	1	12	12	11	1745
1_	18	4	12:26:19	1	10	10	12	2009
1_	18	4	12:26:19	1	1	1	13	1341
1_	18	4	12:26:19	1	3	3	14	2341
1_	18	4	12:26:19	1	11	11	15	1687
1_	18	4	12:26:19	1	2	2	16	2066
1_	18	4	12:26:19	1	9	9	17	1683
1_	18	4	12:26:19	1	17	17	18	1766
1_	23	1	12:43:14	1	5	5	1	1611
1_	23	1	12:43:14	1	3	3	2	2668
1_	23	1	12:43:14	1	14	14	3	1359
1_	23	1	12:43:14	1	13	13	4	4851
1_	23	1	12:43:14	1	12	12	5	3100
1_	23	1	12:43:14	1	4	4	6	1592
1_	23	1	12:43:14	0	16	13	7	16793
1_	23	1	12:43:14	1	1	1	8	2202
1_	23	1	12:43:14	0	15	6	9	10882
1_	23	1	12:43:14	1	8	8	10	4453
1_	23	1	12:43:14	0	9	6	11	7799
1_	23	1	12:43:14	1	11	11	12	2021
1_	23	1	12:43:14	1	2	2	13	3612
1_	23	1	12:43:14	1	7	7	14	1351
1_	23	1	12:43:14	1	17	17	15	3540
1_	23	1	12:43:14	0	6	18	16	7894
1_	23	1	12:43:14	0	10	16	17	9334
1_	23	1	12:43:14	0	18	10	18	6578
1_80per	3	1	10:16:04	0	9	12	1	3996
1_80per	3	1	10:16:04	0	15	6	2	3538
1_80per	3	1	10:16:04	0	18	14	3	4180
1_80per	3	1	10:16:04	0	16	9	4	1665
1_80per	3	1	10:16:04	0	4	6	5	3041
1_80per	3	1	10:16:04	0	14	9	6	3681
1_80per	3	1	10:16:04	0	12	15	7	2557
1_80per	3	1	10:16:04	1	5	5	8	2597
1_80per	3	1	10:16:04	0	2	11	9	3881
1_80per	3	1	10:16:04	0	10	6	10	2269
1_80per	3	1	10:16:04	0	11	13	11	1517
1_80per	3	1	10:16:04	0	1	16	12	4700
1_80per	3	1	10:16:04	0	13	6	13	3153
1_80per	3	1	10:16:04	0	6	10	14	4551
1_80per	3	1	10:16:04	0	3	12	15	3956
1_80per	3	1	10:16:04	1	7	7	16	1193
1_80per	3	1	10:16:04	1	8	8	17	3822
1_80per	3	1	10:16:04	0	17	1	18	1371
1_	8	1	10:59:33	0	17	2	1	12481
1_	8	1	10:59:33	0	8	12	2	15964
1_	8	1	10:59:33	0	5	4	3	7343
1_	8	1	10:59:33	0	9	13	4	3910
1_	8	1	10:59:33	1	10	10	5	7934
1_	8	1	10:59:33	0	3	8	6	8255
1_	8	1	10:59:33	0	18	14	7	8490
1_	8	1	10:59:33	1	1	1	8	1289
1_	8	1	10:59:33	0	16	5	9	4595
1_	8	1	10:59:33	0	15	18	10	14545
1_	8	1	10:59:33	0	2	11	11	6744
1_	8	1	10:59:33	0	4	16	12	15193
1_	8	1	10:59:33	0	12	15	13	7938
1_	8	1	10:59:33	0	7	3	14	11324
1_	8	1	10:59:33	0	13	8	15	7832
1_	8	1	10:59:33	1	6	6	16	11594
1_	8	1	10:59:33	0	14	4	17	3763
1_	8	1	10:59:33	0	11	15	18	7062
2_12-100per_6-50per	13	3	11:29:22	1	15	15	1	1273
2_12-100per_6-50per	13	3	11:29:22	0	17	16	2	3849
2_12-100per_6-50per	13	3	11:29:22	0	14	11	3	5728
2_12-100per_6-50per	13	3	11:29:22	0	16	11	4	4460
2_12-100per_6-50per	13	3	11:29:22	1	5	5	5	2983
