ExperimentName	Subject	Session	Correct	CorrectAns	CorrectLoc	SessionTime	Response	TestList.Sample	TestSlide.RT
1_1x4	13	1	0	16	13	16:14:56	2	1	6260
1_1x4	13	1	1	7	4	16:14:56	7	2	9265
1_1x4	13	1	0	10	13	16:14:56	13	3	1787
1_1x4	13	1	0	12	3	16:14:56	3	4	2854
1_1x4	13	1	0	6	16	16:14:56	4	5	11378
1_1x4	13	1	0	4	6	16:14:56	11	6	8480
1_1x4	13	1	0	2	18	16:14:56	7	7	10595
1_1x4	13	1	0	14	9	16:14:56	11	8	5127
1_1x4	13	1	1	18	17	16:14:56	18	9	3709
1_1x4	13	1	0	3	14	16:14:56	16	10	2433
1_1x4	13	1	0	5	10	16:14:56	3	11	1677
1_1x4	13	1	0	15	8	16:14:56	17	12	3703
1_1x4	13	1	0	8	2	16:14:56	1	13	9421
1_1x4	13	1	0	1	6	16:14:56	2	14	2627
1_1x4	13	1	0	9	16	16:14:56	4	15	2337
1_1x4	13	1	0	13	11	16:14:56	17	16	1742
1_1x4	13	1	0	17	8	16:14:56	13	17	1923
1_1x4	13	1	0	11	13	16:14:56	14	18	2537
1_1x4	17	4	1	13	11	17:37:50	13	1	2243
1_1x4	17	4	0	12	3	17:37:50	3	2	3529
1_1x4	17	4	1	14	9	17:37:50	14	3	1509
1_1x4	17	4	1	6	16	17:37:50	6	4	2004
1_1x4	17	4	1	11	13	17:37:50	11	5	2930
1_1x4	17	4	0	9	16	17:37:50	8	6	1758
1_1x4	17	4	0	4	6	17:37:50	15	7	1685
1_1x4	17	4	0	16	13	17:37:50	10	8	1663
1_1x4	17	4	0	1	6	17:37:50	16	9	2580
1_1x4	17	4	0	8	2	17:37:50	5	10	1242
1_1x4	17	4	1	7	4	17:37:50	7	11	1236
1_1x4	17	4	0	10	13	17:37:50	15	12	1972
1_1x4	17	4	0	5	10	17:37:50	1	13	3707
1_1x4	17	4	0	18	17	17:37:50	2	14	4070
1_1x4	17	4	0	15	8	17:37:50	5	15	1838
1_1x4	17	4	0	17	8	17:37:50	2	16	3705
1_1x4	17	4	0	3	14	17:37:50	4	17	4007
1_1x4	17	4	0	2	18	17:37:50	1	18	2312
1_1x4	21	4	0	9	16	11:02:31	3	1	3530
1_1x4	21	4	0	16	13	11:02:31	14	2	1607
1_1x4	21	4	0	11	13	11:02:31	2	3	3303
1_1x4	21	4	0	1	6	11:02:31	11	4	1605
1_1x4	21	4	0	4	6	11:02:31	6	5	1859
1_1x4	21	4	0	8	2	11:02:31	7	6	2129
1_1x4	21	4	0	17	8	11:02:31	16	7	3821
1_1x4	21	4	0	5	10	11:02:31	15	8	1508
1_1x4	21	4	0	15	8	11:02:31	4	9	1632
1_1x4	21	4	0	7	4	11:02:31	9	10	3514
1_1x4	21	4	0	6	16	11:02:31	9	11	1643
1_1x4	21	4	0	10	13	11:02:31	5	12	2177
1_1x4	21	4	0	3	14	11:02:31	1	13	1936
1_1x4	21	4	0	18	17	11:02:31	17	14	3635
1_1x4	21	4	0	2	18	11:02:31	10	15	2542
1_1x4	21	4	1	12	3	11:02:31	12	16	2180
1_1x4	21	4	1	13	11	11:02:31	13	17	3179
1_1x4	21	4	0	14	9	11:02:31	18	18	1722
1_1x4	26	1	0	9	16	11:11:49	18	1	3415
1_1x4	26	1	0	11	13	11:11:49	4	2	2252
1_1x4	26	1	0	13	11	11:11:49	9	3	2497
1_1x4	26	1	0	6	16	11:11:49	7	4	1762
1_1x4	26	1	0	7	4	11:11:49	1	5	4897
1_1x4	26	1	0	17	8	11:11:49	13	6	2006
1_1x4	26	1	1	16	13	11:11:49	16	7	1673
1_1x4	26	1	0	15	8	11:11:49	2	8	1714
1_1x4	26	1	0	8	2	11:11:49	15	9	2954
1_1x4	26	1	0	2	18	11:11:49	14	10	3247
1_1x4	26	1	1	5	10	11:11:49	5	11	2462
1_1x4	26	1	0	14	9	11:11:49	12	12	1458
1_1x4	26	1	0	12	3	11:11:49	3	13	2054
1_1x4	26	1	0	1	6	11:11:49	9	14	4306
1_1x4	26	1	0	4	6	11:11:49	15	15	1353
1_1x4	26	1	0	3	14	11:11:49	10	16	3076
1_1x4	26	1	0	18	17	11:11:49	2	17	1844
1_1x4	26	1	0	10	13	11:11:49	9	18	1403
1_1x4	4	1	1	13	11	14:38:40	13	1	6560
1_1x4	4	1	0	1	6	14:38:40	2	2	4467
1_1x4	4	1	0	14	9	14:38:40	13	3	2132
1_1x4	4	1	0	9	16	14:38:40	11	4	1897
1_1x4	4	1	0	5	10	14:38:40	14	5	3808
1_1x4	4	1	0	6	16	14:38:40	17	6	2781
1_1x4	4	1	0	17	8	14:38:40	10	7	2144
1_1x4	4	1	1	18	17	14:38:40	18	8	3851
1_1x4	4	1	0	15	8	14:38:40	6	9	4225
1_1x4	4	1	0	3	14	14:38:40	16	10	2992
1_1x4	4	1	1	12	3	14:38:40	12	11	3002
1_1x4	4	1	0	2	18	14:38:40	5	12	2360
1_1x4	4	1	0	4	6	14:38:40	8	13	5546
1_1x4	4	1	0	7	4	14:38:40	4	14	2133
1_1x4	4	1	0	10	13	14:38:40	9	15	4880
1_1x4	4	1	0	16	13	14:38:40	5	16	5180
1_1x4	4	1	0	11	13	14:38:40	16	17	2153
1_1x4	4	1	0	8	2	14:38:40	4	18	1070
1_1x4	8	4	0	5	10	16:04:49	1	1	3287
1_1x4	8	4	0	10	13	16:04:49	13	2	4365
1_1x4	8	4	1	7	4	16:04:49	7	3	2518
1_1x4	8	4	1	17	8	16:04:49	17	4	1672
1_1x4	8	4	1	15	8	16:04:49	15	5	947
1_1x4	8	4	0	14	9	16:04:49	18	6	4244
1_1x4	8	4	0	9	16	16:04:49	8	7	1988
1_1x4	8	4	0	12	3	16:04:49	10	8	4095
1_1x4	8	4	0	4	6	16:04:49	5	9	3399
1_1x4	8	4	0	1	6	16:04:49	8	10	4157
1_1x4	8	4	0	16	13	16:04:49	4	11	6667
1_1x4	8	4	0	13	11	16:04:49	14	12	2448
1_1x4	8	4	0	3	14	16:04:49	13	13	9498
1_1x4	8	4	0	8	2	16:04:49	9	14	2485
1_1x4	8	4	0	11	13	16:04:49	12	15	4029
1_1x4	8	4	0	18	17	16:04:49	16	16	1908
1_1x4	8	4	1	6	16	16:04:49	6	17	2592
1_1x4	8	4	0	2	18	16:04:49	11	18	2171
2_1x3	13	2	1	14	9	16:25:06	14	1	1913
2_1x3	13	2	1	18	17	16:25:06	18	2	2458
2_1x3	13	2	1	8	2	16:25:06	8	3	2488
2_1x3	13	2	1	13	11	16:25:06	13	4	6000
2_1x3	13	2	1	16	13	16:25:06	16	5	4146
2_1x3	13	2	1	12	3	16:25:06	12	6	2689
2_1x3	13	2	1	7	4	16:25:06	7	7	1303
2_1x3	13	2	1	15	8	16:25:06	15	8	2247
2_1x3	13	2	1	2	18	16:25:06	2	9	4766
2_1x3	13	2	1	4	6	16:25:06	4	10	1352
2_1x3	13	2	1	1	6	16:25:06	1	11	1084
2_1x3	13	2	1	11	13	16:25:06	11	12	1752
2_1x3	13	2	1	5	10	16:25:06	5	13	5735
2_1x3	13	2	0	6	16	16:25:06	9	14	9647
2_1x3	13	2	1	3	14	16:25:06	3	15	2534
2_1x3	13	2	0	10	13	16:25:06	6	16	1674
2_1x3	13	2	0	9	16	16:25:06	10	17	4337
2_1x3	13	2	1	17	8	16:25:06	17	18	1876
2_1x3	17	3	1	1	6	17:27:05	1	1	1524
2_1x3	17	3	1	7	4	17:27:05	7	2	9962
2_1x3	17	3	1	17	8	17:27:05	17	3	5979
2_1x3	17	3	1	3	14	17:27:05	3	4	3809
2_1x3	17	3	1	2	18	17:27:05	2	5	1764
2_1x3	17	3	0	4	6	17:27:05	5	6	13414
2_1x3	17	3	1	14	9	17:27:05	14	7	1831
2_1x3	17	3	0	8	2	17:27:05	15	8	10067
2_1x3	17	3	1	5	10	17:27:05	5	9	8088
2_1x3	17	3	0	10	13	17:27:05	4	10	9865
2_1x3	17	3	1	6	16	17:27:05	6	11	8552
2_1x3	17	3	1	11	13	17:27:05	11	12	1877
2_1x3	17	3	1	18	17	17:27:05	18	13	3987
2_1x3	17	3	1	12	3	17:27:05	12	14	16675
2_1x3	17	3	1	13	11	17:27:05	13	15	1962
2_1x3	17	3	1	16	13	17:27:05	16	16	1904
2_1x3	17	3	0	9	16	17:27:05	5	17	5529
2_1x3	17	3	1	15	8	17:27:05	15	18	22325
2_1x3	21	3	1	15	8	10:52:45	15	1	5083
2_1x3	21	3	1	10	13	10:52:45	10	2	1205
2_1x3	21	3	0	17	8	10:52:45	16	3	5908
2_1x3	21	3	1	7	4	10:52:45	7	4	1649
2_1x3	21	3	0	18	17	10:52:45	14	5	3665
2_1x3	21	3	0	9	16	10:52:45	11	6	4160
2_1x3	21	3	0	14	9	10:52:45	12	7	5793
2_1x3	21	3	0	1	6	10:52:45	8	8	1979
2_1x3	21	3	0	5	10	10:52:45	17	9	4266
2_1x3	21	3	1	2	18	10:52:45	2	10	2370
2_1x3	21	3	0	16	13	10:52:45	13	11	3410
2_1x3	21	3	0	6	16	10:52:45	5	12	3822
2_1x3	21	3	1	4	6	10:52:45	4	13	1988
2_1x3	21	3	1	12	3	10:52:45	12	14	2334
2_1x3	21	3	0	13	11	10:52:45	18	15	2893
2_1x3	21	3	0	11	13	10:52:45	18	16	4891
2_1x3	21	3	0	3	14	10:52:45	1	17	1908
2_1x3	21	3	0	8	2	10:52:45	3	18	4216
2_1x3	26	2	0	4	6	11:22:00	6	1	1604
2_1x3	26	2	1	10	13	11:22:00	10	2	4767
2_1x3	26	2	1	13	11	11:22:00	13	3	1728
2_1x3	26	2	1	17	8	11:22:00	17	4	3467
2_1x3	26	2	1	1	6	11:22:00	1	5	1508
2_1x3	26	2	1	7	4	11:22:00	7	6	6386
2_1x3	26	2	1	9	16	11:22:00	9	7	3372
2_1x3	26	2	1	11	13	11:22:00	11	8	2802
2_1x3	26	2	1	14	9	11:22:00	14	9	10383
2_1x3	26	2	1	16	13	11:22:00	16	10	5620
2_1x3	26	2	0	18	17	11:22:00	17	11	9283
2_1x3	26	2	1	12	3	11:22:00	12	12	2158
2_1x3	26	2	1	3	14	11:22:00	3	13	4240
2_1x3	26	2	1	2	18	11:22:00	2	14	1891
2_1x3	26	2	0	15	8	11:22:00	9	15	8540
2_1x3	26	2	0	6	16	11:22:00	18	16	9724
2_1x3	26	2	0	5	10	11:22:00	15	17	4292
2_1x3	26	2	1	8	2	11:22:00	8	18	6253
2_1x3	4	2	1	15	8	14:52:05	15	1	5995
2_1x3	4	2	1	7	4	14:52:05	7	2	1336
2_1x3	4	2	0	1	6	14:52:05	2	3	3057
2_1x3	4	2	1	18	17	14:52:05	18	4	4548
2_1x3	4	2	0	2	18	14:52:05	11	5	6897
2_1x3	4	2	0	9	16	14:52:05	3	6	2698
2_1x3	4	2	1	5	10	14:52:05	5	7	1849
2_1x3	4	2	1	4	6	14:52:05	4	8	3163
2_1x3	4	2	0	3	14	14:52:05	15	9	4179
2_1x3	4	2	1	17	8	14:52:05	17	10	2882
2_1x3	4	2	1	8	2	14:52:05	8	11	1485
2_1x3	4	2	1	14	9	14:52:05	14	12	2081
2_1x3	4	2	1	13	11	14:52:05	13	13	3286
2_1x3	4	2	1	10	13	14:52:05	10	14	3257
2_1x3	4	2	1	12	3	14:52:05	12	15	1437
2_1x3	4	2	0	6	16	14:52:05	16	16	4785
2_1x3	4	2	0	16	13	14:52:05	11	17	1978
2_1x3	4	2	0	11	13	14:52:05	16	18	4392
2_1x3	8	3	1	8	2	15:55:03	8	1	2531
2_1x3	8	3	0	4	6	15:55:03	14	2	2032
2_1x3	8	3	0	18	17	15:55:03	1	3	4429
2_1x3	8	3	0	3	14	15:55:03	4	4	1929
2_1x3	8	3	1	11	13	15:55:03	11	5	1175
2_1x3	8	3	1	15	8	15:55:03	15	6	2540
2_1x3	8	3	0	1	6	15:55:03	9	7	4431
2_1x3	8	3	1	6	16	15:55:03	6	8	10001
2_1x3	8	3	0	9	16	15:55:03	13	9	4502
2_1x3	8	3	0	14	9	15:55:03	16	10	2707
2_1x3	8	3	0	5	10	15:55:03	9	11	4281
2_1x3	8	3	0	13	11	15:55:03	17	12	4563
2_1x3	8	3	0	16	13	15:55:03	17	13	5628
2_1x3	8	3	0	17	8	15:55:03	2	14	3764
2_1x3	8	3	1	7	4	15:55:03	7	15	1807
2_1x3	8	3	1	12	3	15:55:03	12	16	1831
2_1x3	8	3	0	2	18	15:55:03	10	17	4075
2_1x3	8	3	1	10	13	15:55:03	10	18	10475
3_3x3_1nsy	13	3	1	6	16	16:34:39	6	1	3025
3_3x3_1nsy	13	3	0	8	2	16:34:39	11	2	8109
3_3x3_1nsy	13	3	0	7	4	16:34:39	15	3	2189
3_3x3_1nsy	13	3	0	14	9	16:34:39	9	4	7126
3_3x3_1nsy	13	3	0	3	14	16:34:39	17	5	5003
3_3x3_1nsy	13	3	0	17	8	16:34:39	14	6	17410
3_3x3_1nsy	13	3	0	15	8	16:34:39	5	7	2124
3_3x3_1nsy	13	3	0	5	10	16:34:39	7	8	1535
3_3x3_1nsy	13	3	0	9	16	16:34:39	3	9	7001
3_3x3_1nsy	13	3	0	13	11	16:34:39	4	10	3695
3_3x3_1nsy	13	3	1	18	17	16:34:39	18	11	4351
3_3x3_1nsy	13	3	1	2	18	16:34:39	2	12	1700
3_3x3_1nsy	13	3	0	11	13	16:34:39	16	13	2289
3_3x3_1nsy	13	3	0	4	6	16:34:39	13	14	4065
3_3x3_1nsy	13	3	0	16	13	16:34:39	4	15	17136
3_3x3_1nsy	13	3	0	10	13	16:34:39	5	16	1898
3_3x3_1nsy	13	3	1	1	6	16:34:39	1	17	4809
3_3x3_1nsy	13	3	0	12	3	16:34:39	1	18	4092
3_3x3_1nsy	17	2	0	12	3	17:15:20	4	1	14958
3_3x3_1nsy	17	2	1	17	8	17:15:20	17	2	4075
3_3x3_1nsy	17	2	0	14	9	17:15:20	7	3	13811
3_3x3_1nsy	17	2	0	10	13	17:15:20	7	4	2860
3_3x3_1nsy	17	2	0	2	18	17:15:20	13	5	4991
3_3x3_1nsy	17	2	0	8	2	17:15:20	1	6	5201
3_3x3_1nsy	17	2	0	9	16	17:15:20	6	7	2464
3_3x3_1nsy	17	2	1	16	13	17:15:20	16	8	4435
3_3x3_1nsy	17	2	0	6	16	17:15:20	16	9	5111
3_3x3_1nsy	17	2	0	18	17	17:15:20	8	10	5809
3_3x3_1nsy	17	2	0	4	6	17:15:20	10	11	2238
3_3x3_1nsy	17	2	0	3	14	17:15:20	9	12	4447
3_3x3_1nsy	17	2	0	13	11	17:15:20	2	13	1743
3_3x3_1nsy	17	2	0	7	4	17:15:20	15	14	3008
3_3x3_1nsy	17	2	0	5	10	17:15:20	1	15	3442
3_3x3_1nsy	17	2	0	11	13	17:15:20	14	16	1395
3_3x3_1nsy	17	2	1	15	8	17:15:20	15	17	1516
3_3x3_1nsy	17	2	0	1	6	17:15:20	4	18	11402
3_3x3_1nsy	21	2	1	17	8	10:41:06	17	1	4812
3_3x3_1nsy	21	2	0	13	11	10:41:06	14	2	7294
3_3x3_1nsy	21	2	0	7	4	10:41:06	12	3	2150
3_3x3_1nsy	21	2	0	5	10	10:41:06	7	4	1588
3_3x3_1nsy	21	2	1	1	6	10:41:06	1	5	3247
3_3x3_1nsy	21	2	0	6	16	10:41:06	18	6	4845
3_3x3_1nsy	21	2	1	15	8	10:41:06	15	7	1237
3_3x3_1nsy	21	2	0	3	14	10:41:06	13	8	6984
3_3x3_1nsy	21	2	1	4	6	10:41:06	4	9	1954
3_3x3_1nsy	21	2	1	2	18	10:41:06	2	10	2169
3_3x3_1nsy	21	2	0	12	3	10:41:06	6	11	7802
3_3x3_1nsy	21	2	0	10	13	10:41:06	3	12	7368
3_3x3_1nsy	21	2	0	18	17	10:41:06	5	13	1846
3_3x3_1nsy	21	2	0	16	13	10:41:06	17	14	3543
3_3x3_1nsy	21	2	0	14	9	10:41:06	11	15	4585
3_3x3_1nsy	21	2	0	11	13	10:41:06	16	16	7627
3_3x3_1nsy	21	2	1	8	2	10:41:06	8	17	2290
3_3x3_1nsy	21	2	0	9	16	10:41:06	10	18	11849
3_3x3_1nsy	26	3	1	12	3	11:32:31	12	1	4011
3_3x3_1nsy	26	3	1	5	10	11:32:31	5	2	4116
3_3x3_1nsy	26	3	0	15	8	11:32:31	9	3	3369
3_3x3_1nsy	26	3	0	6	16	11:32:31	12	4	2157
3_3x3_1nsy	26	3	0	17	8	11:32:31	16	5	3882
3_3x3_1nsy	26	3	0	8	2	11:32:31	10	6	1864
3_3x3_1nsy	26	3	0	9	16	11:32:31	7	7	3243
3_3x3_1nsy	26	3	1	1	6	11:32:31	1	8	1043
3_3x3_1nsy	26	3	1	4	6	11:32:31	4	9	1434
3_3x3_1nsy	26	3	0	13	11	11:32:31	17	10	3596
3_3x3_1nsy	26	3	0	2	18	11:32:31	17	11	4499
3_3x3_1nsy	26	3	0	3	14	11:32:31	15	12	2053
3_3x3_1nsy	26	3	0	16	13	11:32:31	13	13	2890
3_3x3_1nsy	26	3	0	14	9	11:32:31	18	14	1515
3_3x3_1nsy	26	3	0	10	13	11:32:31	14	15	3683
3_3x3_1nsy	26	3	0	18	17	11:32:31	10	16	3264
3_3x3_1nsy	26	3	0	7	4	11:32:31	3	17	2282
3_3x3_1nsy	26	3	0	11	13	11:32:31	18	18	2408
3_3x3_1nsy	4	3	0	12	3	15:01:56	17	1	3156
3_3x3_1nsy	4	3	0	17	8	15:01:56	5	2	4673
3_3x3_1nsy	4	3	0	5	10	15:01:56	7	3	3286
3_3x3_1nsy	4	3	0	8	2	15:01:56	14	4	2422
3_3x3_1nsy	4	3	0	11	13	15:01:56	2	5	5188
3_3x3_1nsy	4	3	0	4	6	15:01:56	12	6	2750
3_3x3_1nsy	4	3	1	10	13	15:01:56	10	7	4699
3_3x3_1nsy	4	3	1	18	17	15:01:56	18	8	4150
3_3x3_1nsy	4	3	0	9	16	15:01:56	17	9	2385
3_3x3_1nsy	4	3	0	7	4	15:01:56	6	10	1474
3_3x3_1nsy	4	3	1	15	8	15:01:56	15	11	5514
3_3x3_1nsy	4	3	0	3	14	15:01:56	16	12	3427
3_3x3_1nsy	4	3	0	14	9	15:01:56	18	13	2555
3_3x3_1nsy	4	3	0	1	6	15:01:56	3	14	3454
3_3x3_1nsy	4	3	0	2	18	15:01:56	3	15	1107
3_3x3_1nsy	4	3	0	16	13	15:01:56	8	16	6648
3_3x3_1nsy	4	3	0	6	16	15:01:56	4	17	3935
3_3x3_1nsy	4	3	1	13	11	15:01:56	13	18	2138
3_3x3_1nsy	8	2	1	15	8	15:43:48	15	1	1819
3_3x3_1nsy	8	2	0	12	3	15:43:48	5	2	2939
3_3x3_1nsy	8	2	0	17	8	15:43:48	7	3	5978
3_3x3_1nsy	8	2	1	14	9	15:43:48	14	4	1079
3_3x3_1nsy	8	2	0	11	13	15:43:48	17	5	6628
3_3x3_1nsy	8	2	0	16	13	15:43:48	9	6	2971
3_3x3_1nsy	8	2	0	7	4	15:43:48	3	7	2209
3_3x3_1nsy	8	2	1	6	16	15:43:48	6	8	2834
3_3x3_1nsy	8	2	0	1	6	15:43:48	4	9	7776
3_3x3_1nsy	8	2	0	9	16	15:43:48	5	10	6084
3_3x3_1nsy	8	2	0	8	2	15:43:48	1	11	5434
3_3x3_1nsy	8	2	0	2	18	15:43:48	8	12	7404
3_3x3_1nsy	8	2	0	13	11	15:43:48	11	13	4002
3_3x3_1nsy	8	2	0	4	6	15:43:48	13	14	4951
3_3x3_1nsy	8	2	1	10	13	15:43:48	10	15	2107
3_3x3_1nsy	8	2	0	18	17	15:43:48	12	16	2498
3_3x3_1nsy	8	2	0	3	14	15:43:48	17	17	8049
3_3x3_1nsy	8	2	0	5	10	15:43:48	7	18	2136
4_4x4_2nsy	13	4	0	2	18	16:46:22	17	1	2390
4_4x4_2nsy	13	4	0	6	16	16:46:22	13	2	6423
4_4x4_2nsy	13	4	0	9	16	16:46:22	8	3	2485
4_4x4_2nsy	13	4	1	15	8	16:46:22	15	4	1834
4_4x4_2nsy	13	4	0	1	6	16:46:22	16	5	2724
4_4x4_2nsy	13	4	0	3	14	16:46:22	6	6	1872
4_4x4_2nsy	13	4	0	8	2	16:46:22	4	7	1289
4_4x4_2nsy	13	4	0	10	13	16:46:22	18	8	5330
4_4x4_2nsy	13	4	0	16	13	16:46:22	5	9	2055
4_4x4_2nsy	13	4	0	12	3	16:46:22	3	10	7666
4_4x4_2nsy	13	4	0	5	10	16:46:22	12	11	2273
4_4x4_2nsy	13	4	0	18	17	16:46:22	10	12	5977
4_4x4_2nsy	13	4	0	17	8	16:46:22	6	13	1888
4_4x4_2nsy	13	4	0	7	4	16:46:22	2	14	3404
