ExperimentName	Subject	Session	Correct	CorrectAns	Response	TestID	TestSlide.RT	SessionTime
2_	4	2	0	1	9	1	7148	16:18:54
2_	4	2	0	2	7	2	1516	16:18:54
2_	4	2	0	3	12	3	539	16:18:54
2_	4	2	0	4	17	4	1036	16:18:54
2_	4	2	0	5	11	5	1100	16:18:54
2_	4	2	0	6	14	6	990	16:18:54
2_	4	2	0	7	2	7	1154	16:18:54
2_	4	2	0	8	11	8	754	16:18:54
2_	4	2	0	9	17	9	805	16:18:54
2_	4	2	0	10	9	10	913	16:18:54
2_	4	2	0	11	6	11	712	16:18:54
2_	4	2	0	12	17	12	846	16:18:54
2_	4	2	0	13	8	13	995	16:18:54
2_	4	2	1	14	14	14	500	16:18:54
2_	4	2	0	15	5	15	641	16:18:54
2_	4	2	0	16	13	16	1109	16:18:54
2_	4	2	0	17	1	17	1641	16:18:54
2_	4	2	0	18	5	18	669	16:18:54
2_	9	2	0	1	4	1	5020	17:14:05
2_	9	2	0	2	3	2	3868	17:14:05
2_	9	2	0	3	18	3	1004	17:14:05
2_	9	2	0	4	15	4	3326	17:14:05
2_	9	2	1	5	5	5	3616	17:14:05
2_	9	2	0	6	14	6	4343	17:14:05
2_	9	2	0	7	6	7	6745	17:14:05
2_	9	2	0	8	11	8	2647	17:14:05
2_	9	2	0	9	17	9	3190	17:14:05
2_	9	2	0	10	16	10	2209	17:14:05
2_	9	2	1	11	11	11	2306	17:14:05
2_	9	2	0	12	8	12	2806	17:14:05
2_	9	2	0	13	18	13	2887	17:14:05
2_	9	2	0	14	1	14	3381	17:14:05
2_	9	2	0	15	10	15	1761	17:14:05
2_	9	2	0	16	2	16	1051	17:14:05
2_	9	2	1	17	17	17	1077	17:14:05
2_	9	2	0	18	7	18	2336	17:14:05
3_	4	3	0	1	10	1	2380	16:27:05
3_	4	3	0	2	12	2	7618	16:27:05
3_	4	3	0	3	17	3	1749	16:27:05
3_	4	3	0	4	8	4	2945	16:27:05
3_	4	3	1	5	5	5	4276	16:27:05
3_	4	3	0	6	1	6	8618	16:27:05
3_	4	3	0	7	2	7	2662	16:27:05
3_	4	3	0	8	12	8	2216	16:27:05
3_	4	3	0	9	18	9	3083	16:27:05
3_	4	3	1	10	10	10	1727	16:27:05
3_	4	3	0	11	3	11	3272	16:27:05
3_	4	3	0	12	9	12	1874	16:27:05
3_	4	3	0	13	7	13	839	16:27:05
3_	4	3	0	14	7	14	1084	16:27:05
3_	4	3	1	15	15	15	867	16:27:05
3_	4	3	1	16	16	16	4720	16:27:05
3_	4	3	0	17	8	17	3490	16:27:05
3_	4	3	0	18	2	18	2490	16:27:05
3_	9	3	0	1	13	1	10456	17:21:30
3_	9	3	0	2	8	2	2401	17:21:30
3_	9	3	0	3	12	3	1658	17:21:30
3_	9	3	0	4	7	4	2752	17:21:30
3_	9	3	0	5	6	5	2712	17:21:30
3_	9	3	0	6	4	6	1301	17:21:30
3_	9	3	0	7	11	7	1466	17:21:30
3_	9	3	0	8	5	8	1641	17:21:30
3_	9	3	0	9	5	9	2500	17:21:30
3_	9	3	1	10	10	10	1577	17:21:30
3_	9	3	0	11	2	11	1233	17:21:30
3_	9	3	0	12	15	12	2045	17:21:30
3_	9	3	0	13	9	13	4895	17:21:30
