ExperimentName	Subject	Session	SessionTime	CorrectAns	TestList.Sample	testWait.RESP	testWait.RT
1_	14	1	14:13:40	f	1	j	3779
1_	14	1	14:13:40	j	2	j	412
1_	14	1	14:13:40	f	3	f	1108
1_	14	1	14:13:40	j	4	j	1722
1_	14	1	14:13:40	f	5	f	163
1_	14	1	14:13:40	j	6	j	859
1_	14	1	14:13:40	j	7	j	1952
1_	14	1	14:13:40	j	8	j	406
1_	14	1	14:13:40	f	9	f	1506
1_	14	1	14:13:40	f	10	f	4380
1_	14	1	14:13:40	j	11	j	28
1_	14	1	14:13:40	f	12	f	84
1_	14	1	14:13:40	f	13	f	5102
1_	14	1	14:13:40	j	14	j	592
1_	14	1	14:13:40	f	15	f	994
1_	14	1	14:13:40	f	16	f	4081
1_	14	1	14:13:40	f	17	f	663
1_	14	1	14:13:40	j	18	j	823
1_	14	1	14:13:40	j	19	j	253
1_	14	1	14:13:40	j	20	j	135
1_	14	1	14:13:40	j	21	j	3005
1_	14	1	14:13:40	f	22	f	850
1_	14	1	14:13:40	f	23	f	2752
1_	14	1	14:13:40	f	24	f	345
1_	14	1	14:13:40	f	25	f	64
1_	14	1	14:13:40	j	26	j	8
1_	14	1	14:13:40	j	27	j	2676
1_	14	1	14:13:40	j	28	j	1417
1_	14	1	14:13:40	j	29	j	4448
1_	14	1	14:13:40	j	30	j	759
1_	14	1	14:13:40	j	31	j	263
1_	14	1	14:13:40	j	32	j	1717
1_	14	1	14:13:40	f	33	f	4
1_	14	1	14:13:40	f	34	f	677
1_	14	1	14:13:40	f	35	j	1251
1_	14	1	14:13:40	f	36	f	4752
1_	4	1	15:41:36	j	1	j	553
1_	4	1	15:41:36	j	2	j	1989
1_	4	1	15:41:36	f	3	f	574
1_	4	1	15:41:36	j	4	j	357
1_	4	1	15:41:36	j	5	f	314
1_	4	1	15:41:36	j	6	j	355
1_	4	1	15:41:36	f	7	f	737
1_	4	1	15:41:36	f	8	f	1916
1_	4	1	15:41:36	j	9	j	364
1_	4	1	15:41:36	f	10	j	126
1_	4	1	15:41:36	f	11	f	4672
1_	4	1	15:41:36	j	12	j	602
1_	4	1	15:41:36	f	13	f	187
1_	4	1	15:41:36	f	14	f	19
1_	4	1	15:41:36	f	15	j	15748
1_	4	1	15:41:36	f	16	f	77
1_	4	1	15:41:36	f	17	f	3698
1_	4	1	15:41:36	j	18	f	1086
1_	4	1	15:41:36	j	19	j	74
1_	4	1	15:41:36	f	20	f	62
1_	4	1	15:41:36	j	21	f	25
1_	4	1	15:41:36	f	22	f	209
1_	4	1	15:41:36	j	23	f	313
1_	4	1	15:41:36	f	24	f	174
1_	4	1	15:41:36	f	25	f	271
1_	4	1	15:41:36	f	26	f	297
1_	4	1	15:41:36	j	27	f	669
1_	4	1	15:41:36	j	28	j	4597
1_	4	1	15:41:36	f	29	f	737
1_	4	1	15:41:36	j	30	j	348
1_	4	1	15:41:36	f	31	f	580
1_	4	1	15:41:36	j	32	f	414
1_	4	1	15:41:36	j	33	f	436
1_	4	1	15:41:36	f	34	f	274
1_	4	1	15:41:36	j	35	f	412
1_	4	1	15:41:36	j	36	f	351
1_	9	1	17:08:54	j	1	f	36677
1_	9	1	17:08:54	j	2	j	2865
1_	9	1	17:08:54	j	3	f	4258
1_	9	1	17:08:54	f	4	f	3029
1_	9	1	17:08:54	f	5	f	2444
1_	9	1	17:08:54	f	6	f	1893
1_	9	1	17:08:54	j	7	j	37
1_	9	1	17:08:54	j	8	j	1042
1_	9	1	17:08:54	j	9	f	163
1_	9	1	17:08:54	j	10	j	1838
1_	9	1	17:08:54	f	11	f	1439
1_	9	1	17:08:54	f	12	f	64
1_	9	1	17:08:54	f	13	f	560
1_	9	1	17:08:54	j	14	j	9
1_	9	1	17:08:54	f	15	f	1093
1_	9	1	17:08:54	j	16	j	266
1_	9	1	17:08:54	f	17	f	6
1_	9	1	17:08:54	f	18	f	2814
1_	9	1	17:08:54	f	19	f	1298
1_	9	1	17:08:54	j	20	j	160
1_	9	1	17:08:54	j	21	j	138
1_	9	1	17:08:54	f	22	f	114
1_	9	1	17:08:54	j	23	j	160
1_	9	1	17:08:54	f	24	f	38
1_	9	1	17:08:54	f	25	f	113
1_	9	1	17:08:54	j	26	f	575
1_	9	1	17:08:54	j	27	j	141
1_	9	1	17:08:54	j	28	j	620
1_	9	1	17:08:54	j	29	j	356
1_	9	1	17:08:54	f	30	f	130
1_	9	1	17:08:54	f	31	f	569
1_	9	1	17:08:54	f	32	f	66
1_	9	1	17:08:54	j	33	j	818
1_	9	1	17:08:54	f	34	f	47
1_	9	1	17:08:54	f	35	f	485
1_	9	1	17:08:54	j	36	j	63
1_	10	1	15:25:28	f	1	f	4939
