pic1 pic2 pic3 pic4 snd1 snd2
10 11 4 14 1 3 
3 16 18 1 2 9 
12 18 3 11 4 10 
15 8 7 4 5 1 
13 1 6 3 7 5 
6 2 1 16 8 11 
14 17 2 5 3 12 
5 4 8 11 9 2 
6 12 10 17 1 13 
8 3 18 16 10 4 
9 11 13 17 4 15 
18 10 17 6 13 3 
17 1 16 5 6 10 
5 11 12 18 16 17 
13 14 9 17 12 6 
15 4 11 13 17 7 
8 9 12 15 11 14 
6 7 4 2 3 9 
10 2 6 9 15 5 
18 16 5 10 14 1 
5 12 2 1 18 16 
8 4 1 7 10 2 
13 14 3 8 18 7 
1 2 8 6 12 4 
17 15 14 16 7 13 
4 12 13 10 5 8 
9 6 18 12 17 11 
3 16 15 14 1 6 
10 11 16 13 14 17 
18 8 17 4 2 16 
4 13 7 3 6 12 
1 5 15 9 10 16 
3 9 5 18 15 13 
7 15 4 2 12 14 
2 6 9 7 8 5 
17 16 10 8 11 7 
10 7 6 11 16 4 
14 16 8 15 4 9 
12 7 11 14 15 10 
8 18 14 12 3 11 
5 13 16 6 9 1 
2 1 17 4 11 18 
17 7 15 5 13 8 
9 14 13 3 18 15 
6 16 11 8 17 3 
3 10 12 9 14 18 
11 15 14 18 16 17 
18 13 9 15 2 12 
1 11 2 13 7 14 
5 2 3 12 13 15 
17 14 7 10 9 6 
15 12 5 1 8 18 
9 4 10 7 6 2 
3 7 1 2 5 8 
