word	object	count	cond_P
alphabet	alphabet	3	1.0
baby	baby	6	0.545
ball	ball	21	0.913
blocks	blocks	9	0.9
book	book	9	1.0
box	box	88	0.957
boxes	box	4	1.0
brushes	brush	5	1.0
comb	brush	2	1.0
brush	brush	68	0.602
bunny	bunny	4	0.667
bus	bus	2	1.0
cars	car	12	1.0
car	car	209	0.972
cheese	cheese	9	1.0
doggie	dog	62	1.0
doggy	dog	129	0.985
dog	dog	68	1.0
puppy	dog	23	1.0
doggys	dog	20	1.0
doggies	dog	5	1.0
doll	doll	24	1.0
dough	dough	4	1.0
pizza	dough	3	0.75
ernie	ernie	3	0.6
hotdog	hotdog	11	1.0
hotdogs	hotdog	4	1.0
mickey	mickey	6	1.0
mouse	mickey	2	1.0
pepperoni	pepperoni	3	1.0
telephone	phone	3	0.75
piggy	pig	83	0.988
pigs	pig	18	1.0
piggys	pig	15	1.0
piggly	pig	4	1.0
piggies	pig	2	1.0
pig	pig	127	0.977
rabbit	rabbit	2	0.5
trucks	truck	6	1.0
truck	truck	160	0.982
waffles	waffles	4	1.0
