word	object	count	n_w	cond_P
alphabet	alphabet	3	3	1.000
baby	baby	6	11	0.545
ball	ball	21	23	0.913
gund	bear	4	4	1.000
mr	bear	4	6	0.667
blocks	blocks	9	10	0.900
book	book	9	9	1.000
joey	book	3	3	1.000
boxes	box	4	4	1.000
build	box	4	4	1.000
hat	box	4	4	1.000
tunnel	box	3	3	1.000
bandaid	box	3	3	1.000
box	box	88	92	0.957
lid	box	9	10	0.900
head	box	6	10	0.600
fit	box	3	6	0.500
brushes	brush	5	5	1.000
bristles	brush	4	4	1.000
pick	brush	3	4	0.750
brush	brush	68	113	0.602
hook	brush	3	5	0.600
blue	brush	4	8	0.500
bunny	bunny	4	6	0.667
cars	car	12	12	1.000
shawns	car	5	5	1.000
anybody	car	4	4	1.000
forth	car	3	3	1.000
steering	car	3	3	1.000
trunk	car	3	3	1.000
seat	car	3	3	1.000
stick	car	3	3	1.000
jaguar	car	3	3	1.000
sports	car	3	3	1.000
car	car	209	215	0.972
doors	car	20	21	0.952
red	car	36	39	0.923
opens	car	12	13	0.923
wheel	car	10	11	0.909
door	car	68	75	0.907
fast	car	8	9	0.889
chew	car	4	5	0.800
likes	car	4	5	0.800
both	car	9	12	0.750
shut	car	9	12	0.750
wrong	car	3	4	0.750
trucks	car	4	6	0.667
open	car	53	86	0.616
fell	car	3	5	0.600
close	car	15	26	0.577
drive	car	4	7	0.571
side	car	7	14	0.500
looks	car	4	8	0.500
cheese	cheese	9	9	1.000
dog	dog	68	68	1.000
doggie	dog	62	62	1.000
puppy	dog	23	23	1.000
doggys	dog	20	20	1.000
dogs	dog	8	8	1.000
doggies	dog	5	5	1.000
feet	dog	3	3	1.000
wagging	dog	3	3	1.000
doggy	dog	129	131	0.985
ear	dog	3	4	0.750
makes	dog	3	5	0.600
doll	doll	24	24	1.000
rosy	doll	6	6	1.000
dough	dough	4	4	1.000
pizza	dough	3	4	0.750
ernie	ernie	3	5	0.600
flashlight	flashlight	3	3	1.000
hotdog	hotdog	11	11	1.000
hotdogs	hotdog	4	4	1.000
mickey	mickey	6	6	1.000
pepperoni	pepperoni	3	3	1.000
press	phone	3	3	1.000
telephone	phone	3	4	0.750
pigs	pig	18	18	1.000
piggys	pig	15	15	1.000
puppet	pig	12	12	1.000
piggie	pig	9	9	1.000
squeaker	pig	5	5	1.000
different	pig	4	4	1.000
squeaks	pig	4	4	1.000
piggly	pig	4	4	1.000
piggy	pig	83	84	0.988
pig	pig	127	130	0.977
squeak	pig	13	15	0.867
mister	pig	4	5	0.800
someone	pig	3	4	0.750
made	pig	5	7	0.714
shake	pig	4	6	0.667
tail	pig	25	41	0.610
hands	pig	3	5	0.600
talk	pig	3	5	0.600
feels	pig	3	5	0.600
cause	pig	3	5	0.600
grab	pig	3	5	0.600
hand	pig	11	20	0.550
noise	pig	6	11	0.545
hes	pig	17	34	0.500
kiss	pig	8	16	0.500
mickey	pig	3	6	0.500
trucks	truck	6	6	1.000
bears	truck	4	4	1.000
spin	truck	4	4	1.000
truck	truck	160	163	0.982
teddy	truck	14	15	0.933
green	truck	10	12	0.833
move	truck	7	10	0.700
push	truck	10	18	0.556
cookie	truck	6	12	0.500
both	truck	6	12	0.500
went	truck	4	8	0.500
fit	truck	3	6	0.500
waffles	waffles	4	4	1.000
