word	object	count	n_w	cond_P
ball	ball	21	23	0.913
blocks	blocks	9	10	0.900
book	book	9	9	1.000
box	box	88	92	0.957
lid	box	9	10	0.900
brushes	brush	5	5	1.000
cars	car	12	12	1.000
shawns	car	5	5	1.000
car	car	209	215	0.972
doors	car	20	21	0.952
red	car	36	39	0.923
opens	car	12	13	0.923
wheel	car	10	11	0.909
door	car	68	75	0.907
fast	car	8	9	0.889
cheese	cheese	9	9	1.000
dog	dog	68	68	1.000
doggie	dog	62	62	1.000
puppy	dog	23	23	1.000
doggys	dog	20	20	1.000
dogs	dog	8	8	1.000
doggies	dog	5	5	1.000
doggy	dog	129	131	0.985
doll	doll	24	24	1.000
rosy	doll	6	6	1.000
hotdog	hotdog	11	11	1.000
mickey	mickey	6	6	1.000
pigs	pig	18	18	1.000
piggys	pig	15	15	1.000
puppet	pig	12	12	1.000
piggie	pig	9	9	1.000
squeaker	pig	5	5	1.000
piggy	pig	83	84	0.988
pig	pig	127	130	0.977
squeak	pig	13	15	0.867
trucks	truck	6	6	1.000
truck	truck	160	163	0.982
teddy	truck	14	15	0.933
green	truck	10	12	0.833
