utt_num,words,objects
1,ahhah look we can read books david,book bird rattle face
2,its a look and see book,book bird rattle face
3,ahhah we open it up and there are a set of eyes and there is a,book bird rattle face bear
4,the bear has a baby bottle,book bird rattle face bear
5,yes david has baby bottles,book bird rattle face bear
6,oh,book bird rattle mirror bunny
7,theres a mirror,book bird rattle mirror bunny
8,can david see david,book bird rattle mirror bunny
9,see david there we go,book bird rattle mirror bunny
10,ah a bunny,book bird rattle mirror bunny
11,what do bunnies do,book bird rattle mirror bunny
12,bunnies go hiphop hiphop,book bird rattle mirror bunny
13,do bunnies go jumping through the forest,book bird rattle mirror bunny
14,can we sing the song,book bird rattle mirror bunny
15,yeah,book bird rattle kitty baby
16,oh,book bird rattle kitty baby
17,theres a kittycat,book bird rattle kitty baby
18,kittycats go meow meow,book bird rattle kitty baby
19,the kittycats go meow meow,book bird rattle kitty baby
20,ah and a baby,book bird rattle kitty baby
21,theres a baby just like my david,book bird rattle kitty baby
22,a baby,book bird rattle kitty baby
23,thats a nice book,book bird rattle kitty baby
24,and look,book bird rattle man woman girl boy
25,theres a family just like ours,book bird rattle man woman girl boy
26,theres a mommy,book bird rattle man woman girl boy
27,and a daddy,book bird rattle man woman girl boy
28,and that could be your big sister alison,book bird rattle man woman girl boy
29,and theres baby david,book bird rattle man woman girl boy
30,ah is that fun,bird rattle
31,yeah,bird rattle
32,lookee ahhah,bird rattle
33,heres bigbird,bird rattle
34,we watch big bird dont we,bird rattle
35,because alison likes bigbird,bird rattle
36,she learns about her alphabet with bigbird,bird rattle
37,ah want to play with bigbird,bird rattle
38,yeah i see those hands i see those hands,bird rattle
39,theres bigbird,bird rattle
40,should bigbird sing his abc,bird rattle
41,yeah,bird rattle
42,a b c d e f g,bird rattle
43,h i j k l m n o p,bird rattle
44,q r s t y v,bird rattle
45,w x y and z,bird rattle
46,now i know my abc,bird rattle
47,next time wont you sing with me,bird rattle
48,youre a drooly boy,bird rattle
49,yes you are,bird rattle
50,youre a drooly boy today,bird rattle
51,bigbird,bird rattle
52,okay you want to hold bigbird,bird rattle
53,yeah bigbirds eyes,bird rattle
54,bigbirds soft,bird rattle
55,yeah,bird
56,he sure is hes soft,bird
57,aw big hugs,bird
58,mmm can momma hug bigbird too,bird
59,so we can see you,bird
60,yeah huh,bird
61,momma hug bigbird aw,bird
62,can david hug bigbird,bird
63,aw,bird
64,is that sweet,bird
65,look we could colors,bird ring
66,usually we dont get these because usually alison has them,bird ring
67,uhuh,bird ring
68,all our colors,bird ring
69,ah blue rings,bird ring
70,and green rings,bird ring
71,and yellow rings,bird ring
72,ah orange rings,bird ring
73,and red ones,bird ring
74,ah bigbird,bird ring
75,do you want to hold the rings,bird ring
76,you want ta play with the rings,bird ring
77,hi,bird ring
78,theres a red one,bird ring
79,yeah everything in the mouth,bird ring
80,just where it belongs,bird ring
81,huh,bird ring
82,just where it belongs,bird ring
83,hi,ring
84,hi,ring
85,huh yeah,ring
86,there lots of toys i think some of these might squeak,ring pig
87,uh,ring pig
88,no mot thought the piggie might squeak,ring pig
89,piggie goes oink oink,ring pig
90,oink oink,ring pig
91,piggies are kind of noisy,ring pig
92,they like to eat a lot,ring pig
93,make lots of messes,ring pig
94,make lots of messes,ring pig
95,yeah they sure do,ring hand
96,oh that ones kind of fun,ring hand
97,thats a hand,ring hand
98,thats a hand,ring hand
99,want the hand,ring hand
100,okay,ring hand
101,yeah lots of things,ring hand
102,lots of toys,ring hand
103,lot of toys to play with,ring hand
104,we like to play we love to chew dont we yeah,ring hand
105,you got those teeth that are going to come in any day now,hand hat
106,yeah any day now look david its a mickeymouse hat,hand hat
107,look you wanna where the hat,hand hat
108,oh i here a fun noisy toy in there,hand hat
109,yeah,hand hat
110,moms got a hat on look,hand hat
111,thats like alisons hat,hand hat
112,uhhuh,hand hat
113,is that a fun hat,hand hat
114,davids got a baseball hat,hand hat
115,do you hear the noisy toy,hand duck
116,look,hand duck
117,is that one fun,hand duck
118,yeah,hand duck
119,that looks like a duck,hand duck
120,quackquack quackquack,hand duck
121,yeah and look the duckie has a bowtie,hand duck
122,yeah how about that,hand duck
123,a bowtie,hand duck
124,yeah you like that one that one makes funny noise,hand duck
125,uhuh,hand duck
126,oh does that taste good,hand duck
127,does that taste good,hand duck
128,mhmm,hand duck
129,are you eating that up,hand duck
130,are you eating that up,hand duck
131,huh,hand duck
132,can you make it wiggle,hand duck
133,make it wiggle,hand duck
134,yeah,hand duck
135,yeah,hand duck
136,how about that,hand duck
137,you playing,hand duck
138,uh,hand duck
139,yeah mom doesnt need noise from the toys mom makes plenty of,hand duck
140,you going to see how many of those you can get in that mouth,hand duck
141,mhmm is that good,hand duck
142,mhmm,hand duck
143,want to play peekaboo,hand
144,ahhah,hand
145,peekaboo,hand
146,whered mom go,hand
147,ahhah peekaboo,hand
148,theres mom,hand
149,theres mom,hand
150,are you trying to see what you can get all wet by drooling,hand
151,yeah,hand
152,are you drooling,hand
153,yes,hand
154,hi,hand
155,goodness,hand
156,yeah,hand
157,if we had more books wed read more books,hand
158,because we like books dont we,hand
159,yeah,hand
160,what other animals are there,hand
161,ahhah theres a littler pig,hand pig lamb
162,and look heres a lamb,hand pig lamb
163,baa,hand pig lamb
164,baa says the lamb,hand pig lamb
165,uhhuh,hand pig lamb
166,davids got a hand,hand pig lamb
167,davids got a hand,hand pig lamb
168,bumpba,hand pig lamb
169,hi sweetie,hand pig lamb
170,yeah theres a lambie,hand pig lamb
171,and a little piggie,hand pig lamb
172,look lets put the two piggies together,hand pig pig
173,this could be the mother piggie and the baby piggie,hand pig pig
174,two piggies,hand pig pig
175,one two,hand pig pig
176,yeah,hand pig pig
177,does that taste good,hand pig pig
178,is that a good hand,hand pig pig
179,mhmm,hand pig pig
180,uh mhmm yeah thats a good hand,hand pig pig
181,mhmm,hand pig pig
182,eat it up,hand pig pig
183,uh it squeaked,hand pig pig
184,did you hear it,hand pig pig
185,it squeaked ahhah,hand pig pig
186,it squeaked where you going,hand pig pig
187,you going to squirm right out i know yeah,hand pig pig
188,can we sit up pretty,hand pig pig
189,uhhuh,hand pig pig
190,yeah,hand pig pig
191,i know you you like to roll all over the floor so thats what we,hand pig pig
192,yes youre okay in the chair,hand pig pig
193,uh i got a noisy one,hand duck
194,you want to hold that one,hand duck
195,in the chair,hand duck
196,yeah,hand duck
197,oh boy,bird
198,how about back to bigbird,bird
199,oh mom got you sitting up almost too straight,bird
200,yes uhhuh,bird
201,here we go uh i know,bird
202,youre not much into sitting up in that chair anymore,bird
203,no,bird
204,theres bigbird,bird
205,you like bigbird,bird
206,theres bigbirds beak,bird
207,yeah wheres bigbirds eyes,bird
208,theres his eyes,bird
209,theres his eyes,bird
210,bigbird talks to you doesnt he,bird
211,yeah,bird
212,youre a drool boy today,bird
213,those teeth must be wanting to come in,bird
214,yeah,bird
215,what sweetie,bird
216,what you telling us,bird
